symbol,timestamp,close,future_close,forward_return,true_label,pred_signal,hybrid_score,technical_score,sentiment_score,volatility_index,confidence,reason
ETHUSDT,2025-11-05T07:00:00+00:00,3331.08,3380.42,0.01481201292073446,HOLD,HOLD,0.0096,0.032,0.0,0.0,0.0096,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-05T08:00:00+00:00,3300.85,3385.61,0.025678234394171266,BUY,HOLD,-0.0274,-0.0915,0.0,0.0,0.0274,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-05T09:00:00+00:00,3307.53,3383.19,0.02287507596302977,BUY,HOLD,-0.1275,-0.4251,0.0,0.0,0.1275,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T10:00:00+00:00,3276.55,3393.7,0.035754070592543874,BUY,HOLD,-0.1067,-0.3557,0.0,0.0,0.1067,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T11:00:00+00:00,3322.55,3399.4,0.023129824983822638,BUY,HOLD,-0.1445,-0.4816,0.0,0.0,0.1445,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T12:00:00+00:00,3345.05,3349.5,0.0013303239114511945,HOLD,HOLD,-0.137,-0.4567,0.0,0.0,0.137,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T13:00:00+00:00,3360.31,3391.03,0.009142013683261441,HOLD,HOLD,-0.1163,-0.3877,0.0,0.0,0.1163,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T14:00:00+00:00,3348.92,3329.01,-0.005945200243660599,HOLD,HOLD,-0.1736,-0.5788,0.0,0.0,0.1736,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T15:00:00+00:00,3398.36,3300.0,-0.028943372685648408,SELL,HOLD,-0.18,-0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T16:00:00+00:00,3437.93,3276.59,-0.04692940228567763,SELL,HOLD,-0.1773,-0.591,0.0,0.0,0.1773,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T17:00:00+00:00,3436.02,3329.65,-0.030957328537086482,SELL,HOLD,-0.1657,-0.5522,0.0,0.0,0.1657,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T18:00:00+00:00,3462.04,3329.43,-0.038304005730725274,SELL,HOLD,-0.18,-0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T19:00:00+00:00,3455.12,3325.8,-0.03742851188960144,SELL,HOLD,-0.18,-0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T20:00:00+00:00,3450.98,3306.41,-0.04189244794232368,SELL,HOLD,-0.1737,-0.579,0.0,0.0,0.1737,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T21:00:00+00:00,3442.36,3326.04,-0.03379077144749537,SELL,HOLD,-0.1693,-0.5642,0.0,0.0,0.1693,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T22:00:00+00:00,3424.74,3319.61,-0.030697220810922774,SELL,HOLD,-0.18,-0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-05T23:00:00+00:00,3424.29,3315.14,-0.03187522084870151,SELL,HOLD,-0.18,-0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T00:00:00+00:00,3407.6,3324.97,-0.02424873811480224,SELL,HOLD,-0.18,-0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T01:00:00+00:00,3405.38,3324.79,-0.02366549401241569,SELL,HOLD,-0.1694,-0.5648,0.0,0.0,0.1694,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T02:00:00+00:00,3422.13,3346.66,-0.022053516377227123,SELL,HOLD,-0.1632,-0.544,0.0,0.0,0.1632,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T03:00:00+00:00,3432.9,3345.12,-0.025570217600279704,SELL,HOLD,-0.1581,-0.527,0.0,0.0,0.1581,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T04:00:00+00:00,3452.83,3338.42,-0.03313513842268512,SELL,HOLD,-0.18,-0.6,0.0,0.0,0.18,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T05:00:00+00:00,3388.39,3366.78,-0.00637766018669624,HOLD,HOLD,-0.0142,-0.0472,0.0,0.0,0.0142,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T06:00:00+00:00,3384.71,3348.02,-0.010839924247572186,HOLD,HOLD,-0.1103,-0.3676,0.0,0.0,0.1103,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T07:00:00+00:00,3380.42,3358.42,-0.0065080670449234115,HOLD,HOLD,-0.1071,-0.3569,0.0,0.0,0.1071,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T08:00:00+00:00,3385.61,3342.04,-0.012869172763549305,HOLD,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T09:00:00+00:00,3383.19,3301.48,-0.024151762094354746,SELL,HOLD,-0.06,-0.2,0.0,0.0,0.06,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T10:00:00+00:00,3393.7,3280.55,-0.03334119103043865,SELL,HOLD,-0.093,-0.31,0.0,0.0,0.093,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T11:00:00+00:00,3399.4,3259.97,-0.04101606165793972,SELL,HOLD,-0.1208,-0.4028,0.0,0.0,0.1208,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T12:00:00+00:00,3349.5,3223.05,-0.03775190326914459,SELL,HOLD,-0.0775,-0.2583,0.0,0.0,0.0775,Neutral sentiment and technical indicators showing balanced market conditions
ETHUSDT,2025-11-06T13:00:00+00:00,3391.03,3240.99,-0.044246143502121894,SELL,HOLD,-0.1609,-0.5363,0.0,0.0,0.1609,Mixed signals with sentiment and technical indicators showing conflicting trends
ETHUSDT,2025-11-06T14:00:00+00:00,3329.01,3289.43,-0.011889420578490417,HOLD,HOLD,-0.1115,-0.3718,0.0,0.0,0.1115,Mixed signals with sentiment and technical indicators showing conflicting trends
